Hypothesis,Direct evidence,Indirect evidence,Contradicting evidence,Status,Evidence IDs
HTTP rejection (HTTP 403/429/503 status code),None. Exactly 0 HTTP status codes survive for the 318 losses on 2026-09-11.,fetch_one() had dedicated 403/429/503 retry backoff that silently returned None upon retry exhaustion without setting last_err or logging.,"In contemporary tests under open windows (P-C0 Step 4, P-C0R, P-R1X Windows 1-3), 0 of 80 requests received HTTP 403, 429, or 503.",PLAUSIBLE_BUT_UNPROVEN,"EV-HIST-01, EV-HIST-06, EV-HIST-07, EV-HIST-08, EV-HIST-10"
Transport failure (connection reset / DNS / connect / TLS error),None. Exactly 0 socket exceptions or transport errors survive for the 318 losses on 2026-09-11.,"During P-C0 Step 3 (2026-09-17 13:17 UTC), probes failed 9/9 due to CURLE_RECV_ERROR (56) connection resets from nsearchives.nseindia.com.","In P-R1X Windows 1-2, 20 of 20 requests succeeded on Attempt 1 with zero transport errors.",PLAUSIBLE_BUT_UNPROVEN,"EV-HIST-01, EV-HIST-06, EV-HIST-08, EV-HIST-09, EV-HIST-10"
Timeout (connect timeout or read timeout),None. Exactly 0 timeout events survive for the 318 losses on 2026-09-11.,P-C0 Step 3 experienced 45s read timeouts on nsearchives.nseindia.com; pre-R1 timeout was fixed at 120s.,"In P-R1X Windows 1-3, 30 of 30 requests succeeded with mean response time under 3.5 seconds and zero timeouts.",PLAUSIBLE_BUT_UNPROVEN,"EV-HIST-01, EV-HIST-06, EV-HIST-08, EV-HIST-10"
Receipt failure (truncated stream / drop during payload transfer),None. Exactly 0 receipt failure records survive for the 318 losses on 2026-09-11.,None for the 318 losses.,All 194 successful downloads completed with valid byte sizes and intact file streams.,UNKNOWN_AFTER_REVIEW,"EV-HIST-01, EV-HIST-03, EV-HIST-06"
"Validation failure (corrupted ZIP, empty archive, or unrepairable PDF)",None on 2026-09-11. Zero validation failure logs survive.,Historical fetch_one() included a qpdf repair pass for broken PDF xref tables.,"Tested sample URLs across zero-download FYs returned valid, opening ZIP/PDF files with intact magic numbers (PK / %PDF) and byte-identical CAS matches.",RULED_OUT,"EV-HIST-01, EV-HIST-06, EV-HIST-08, EV-HIST-10"
Acquisition invocation gap (requests never invoked for the 318),cohort_fetch_manifest.jsonl was written at 10:28:22 UTC (22s prior to download start) containing exactly 194 pairs and omitting all 318 losses.,"cmd_fetch reads a manifest file; if invoked with cohort_fetch_manifest.jsonl, the 318 were never dispatched by that process.",Cannot definitively prove whether cohort_fetch_manifest.jsonl was an input filter or a post-hoc export; shell command line was not logged.,PLAUSIBLE_BUT_UNPROVEN,"EV-HIST-01, EV-HIST-02, EV-HIST-03, EV-HIST-04, EV-HIST-06, EV-HIST-08"
"URL defect (missing, malformed, or stale target URL)","None. All 318 lost observations have valid, well-formed URLs adhering to standard exchange naming conventions.",None.,"All 318 URLs in cohort_reports.jsonl are well-formed regulatory archive URLs; sampled URLs succeeded 100% in P-C0, P-C0R, and P-R1X.",RULED_OUT,"EV-HIST-01, EV-HIST-02, EV-HIST-08, EV-HIST-10"
Temporal behavior (origin maintenance / time-of-day access policy),All 194 historical successes occurred in a tight 4.5-minute burst (10:28:44–10:33:08 UTC / 15:58:44–16:03:08 IST); 0 outside this window.,P-C0 proved rapid sub-hour accessibility shift (0/9 failures @ 13:17 UTC vs 10/10 successes @ 13:59 UTC on 2026-09-17).,P-R1X Window 3 ran during Indian market hours (08:17 UTC / 13:47 IST) and achieved 100% success.,PLAUSIBLE_BUT_UNPROVEN,"EV-HIST-01, EV-HIST-02, EV-HIST-03, EV-HIST-08, EV-HIST-10"
Concurrency / load effect (burst load triggering origin throttle),None. Exactly 0 concurrency or load-dependent error traces survive from 2026-09-11.,Historical cmd_fetch defaulted to ThreadPoolExecutor(workers=4); initial burst dispatch could theoretically trigger Akamai anti-bot thresholds.,194 documents were downloaded successfully in 4.5 minutes (~1.36s per document) under this exact multi-threaded client.,PLAUSIBLE_BUT_UNPROVEN,"EV-HIST-01, EV-HIST-03, EV-HIST-06, EV-HIST-10"
Retry exhaustion (all 3 retry attempts exhausted),None. Exactly 0 attempt counters or retry logs survive from 2026-09-11.,fetch_one() hardcoded retries=3; failures would only be terminal after 3 attempts.,"In P-R1X, 20 of 20 valid requests succeeded on Attempt 1 (0 retries required).",PLAUSIBLE_BUT_UNPROVEN,"EV-HIST-01, EV-HIST-06, EV-HIST-07, EV-HIST-10"
Client configuration asymmetry (missing NSE cookies / Referer header),None on 2026-09-11.,"cmd_discover used nse_session() with session cookies and Referer, whereas cmd_fetch used an unseeded httpx.Client with User-Agent only.",P-C0R Part 6 controlled A/B trial showed 10/10 paired comparisons succeeded identically with and without cookies/Referer; P-R1X succeeded 20/20 with unadorned client.,RULED_OUT,"EV-HIST-06, EV-HIST-08, EV-HIST-09, EV-HIST-10"
