condition,original_value,reconciled_value,original_definition,reconciled_definition,t0_definition,t0_count,t01_definition,t01_count,aggregation_rule,why_they_differ,whether_legitimately_different,overcount_risk,reconciliation_status,reason,source_artifacts
native,191,191 docs containing native pages; 60 whole-document native representation,Documents with at least 1 native text page,Distinguish documents with native pages (191) from documents exclusively native (60),Whole-document native representation in T0 metadata,151,Page-grain native detection: native_page_count > 0,191,Document contains >= 1 native page,T0 classified whole documents; T0.1 measured presence of any native text page,YES,"LOW when qualified as containing native pages, HIGH if interpreted as pure digital",DIFFERENT_DEFINITIONS,Construct boundary: any-native-page vs all-native-pages,dataset/corpus_freeze/diversity_matrix.csv; dataset/corpus_gap_audit/gap_audit_document.csv
scanned,5 docs / 804 pages claimed in narrative report,2 fully scanned docs (91 pages); 63 docs contain >=1 scanned page (284 pages),"Report claimed 5 fully scanned docs (468, 192, 44, 52, 48 pgs)","Exactly 2 docs are 100% scanned; 1 doc is mixed (67 scanned, 1 native); 1 doc is native legacy font; 1 doc is native",Documents marked scanned in T0 diversity matrix based on KNOWN_FROM_PRIOR,5,scanned_c == pgs in gap_audit_document.csv (2 docs); scanned_page_count > 0 (63 docs),2 fully scanned; 63 with scanned pages,100% of pages scanned vs >=1 page scanned,Narrative report uncritically repeated T0 labels without checking T0.1 document_representation column,NO (narrative error corrected from canonical artifact),CRITICAL (report fabricated 804 pages from unverified prior labels),CORRECTED_REPORT_ONLY,"Canonical artifact gap_audit_document.csv records exactly 2 SCANNED documents (INE002L01015_2012, INE003B01014_2011)",dataset/corpus_freeze/diversity_matrix.csv; dataset/corpus_gap_audit/gap_audit_document.csv
mixed,101 docs claimed in report,132 docs in gap_audit_document.csv; 101 docs have scanned > 0 or legacy > 0,"Report claimed 101 documents (32 issuers, 22,968 pages)","document_representation == 'MIXED' comprises 132 docs (34 issuers, 30,132 pages)",Whole-document mixed representation in T0 metadata,38,"document_representation == 'MIXED' (scanned > 0 or ocr > 0, but not 100% scanned)",132,Document has both digital and raster/OCR elements,Report narrative conflated separate filter (scanned > 0 or legacy > 0) with document_representation column,NO (narrative error corrected from canonical artifact),MEDIUM,CORRECTED_REPORT_ONLY,Canonical gap_audit_document.csv contains exactly 132 MIXED documents,dataset/corpus_freeze/diversity_matrix.csv; dataset/corpus_gap_audit/gap_audit_document.csv
ocr_layer_candidate,98 docs,98 docs have >=1 page with OCR proxy indicator (189 total pages),OCR layer candidate,Heuristic proxy: render mode 3 or OCR producer metadata signature on at least 1 page,OCR_layer in T0 diversity matrix inferred from producer signatures,17,ocr_page_count > 0 in gap_audit_document.csv,98,Page-grain proxy detection: render mode 3 or OCR producer string,T0 looked at global producer metadata; T0.1 evaluated per-page render modes and text layer proxies,YES,HIGH if conflated with confirmed full-document OCR quality,DIFFERENT_DEFINITIONS,T0 producer-level inference vs T0.1 page-level render mode 3 proxy,dataset/corpus_freeze/diversity_matrix.csv; dataset/corpus_gap_audit/gap_summary.csv
legacy_font_candidate,56 docs,"56 docs (1,007 pages) exhibit U+FFFD or PUA characters",Legacy font candidate,Proxy signal: presence of replacement characters or Private Use Area codepoints,legacy_font inferred in T0 diversity matrix,24,legacy_candidate_page_count > 0 in gap_audit_document.csv,56,>=1 character matching U+FFFD or U+E000-U+F8FF,T0 evaluated broken text heuristics during initial freeze; T0.1 broadened codepoint sweep,YES,MEDIUM,DIFFERENT_DEFINITIONS,Different codepoint inclusion heuristics between freeze script and gap audit,dataset/corpus_freeze/diversity_matrix.csv; dataset/corpus_gap_audit/gap_summary.csv
table_candidate,"190 docs / 29,476 pages","190 docs / 29,476 pages exhibit table-like vector line or numeric alignment signals",Table candidates claimed as proof that 'Tables dominate the corpus',Table-like signals occur on most pages under current heuristic; true semantic table prevalence is unverified,table_heavy marked UNKNOWN in T0 diversity matrix,0,table_candidate_page_count > 0 in gap_audit_document.csv,190,Vector grid detected OR aligned numeric rows >= 3,T0 left table_heavy unassessed; T0.1 introduced cheap vector/numeric line proxy,YES,"HIGH (proxy triggers on bordered boxes, dividers, and numeric schedules)",CORRECTED_REPORT_ONLY,"Proxy counts are authentic, but report's semantic interpretation of table dominance was overstated",dataset/corpus_gap_audit/table_candidates.csv; dataset/corpus_gap_audit/gap_summary.csv
annexure_candidate,188 docs,188 docs contain keyword 'annexure'; MD&A-as-annexure structure unverified,Annexure presence claimed as confirming Indian annual reports universally structure MD&A as annexure,Keyword presence confirmed in 188 docs; whether MD&A specifically is an annexure remains candidate/unverified,annexure inferred in 5 documents during T0,5,annexure_candidate == 'True' in gap_audit_document.csv,188,Case-insensitive regex match for 'annexure' in text or headings,T0 searched specific MD&A heading annexure prefixes; T0.1 searched broad word occurrence,YES,CRITICAL if generic word presence is conflated with MD&A structural taxonomy,CORRECTED_REPORT_ONLY,Broad keyword occurrence (188) does not establish structural annexure status for MD&A,dataset/corpus_gap_audit/structure_candidates.csv; dataset/corpus_gap_audit/gap_summary.csv
toc_candidate,174 docs with TOC; 20 lack TOC,174 docs match TOC keyword heuristic; 20 produced no keyword match under search rule,Claimed 20 documents lack TOCs entirely,Keyword candidate found in 174 docs; 20 docs had no keyword match (not proven absent),toc_present (90) based on PDF outline bookmarks; toc_absent (104),90,toc_candidate == 'True' in gap_audit_document.csv,174,"Keyword match on 'table of contents', 'contents', 'index' in first 30 pages",T0 measured PDF outline metadata (bookmarks); T0.1 searched printed text for TOC keywords,YES,MEDIUM,DIFFERENT_DEFINITIONS,PDF outline bookmarks (90) vs printed page text keyword search (174),dataset/corpus_freeze/diversity_matrix.csv; dataset/corpus_gap_audit/gap_summary.csv
toc_offset_candidate,"24 resolved (>=3 matches), 150 unresolved",2 strong candidates (support >= 3); 22 candidate offsets; 4 unresolved; 149 unassessed,Report claimed 24 docs had >=3 matches and 150 were diagnosed offset failures,Exactly 2 docs have support >= 3 in toc_offset_candidates.csv; 149 docs were unassessed,toc_offset marked UNKNOWN in T0,0,detector_status in toc_offset_candidates.csv,2 strong; 22 candidate; 4 unresolved,Matching printed TOC folio numbers against body heading physical page indices,Narrative author misread support_count in toc_offset_candidates.csv and treated unassessed docs as failures,NO (narrative error corrected from canonical artifact),CRITICAL,CORRECTED_REPORT_ONLY,Canonical toc_offset_candidates.csv records only 2 STRONG_CANDIDATE entries and only 45 assessed docs,dataset/corpus_gap_audit/toc_offset_candidates.csv
devanagari_bilingual,2 docs / 2 pages (claimed parallel notices / bilingual annual report gap),2 docs / 2 pages (116 Devanagari chars on page 0 letterhead/cover of SJVN Limited),Claimed bilingual annual reports and recommended acquiring 6 bilingual PSU reports,Devanagari is restricted to 116 characters on page 0 letterhead; English prose is complete; no core thesis need,"Devanagari observed in 2 docs (INE002L01015_2024, INE002L01015_2025)",2,"devanagari_page_count > 0 (2 docs, 2 pages)",2,Unicode block U+0900-U+097F character count > 10,Counts agree exactly (2 docs); narrative interpretation of bilingual MD&A was unsupported,NO,HIGH if letterhead header is misinterpreted as bilingual report body,CORRECTED_REPORT_ONLY,language_candidates.csv confirms Devanagari is confined to page_index 0 (letterhead),dataset/corpus_freeze/diversity_matrix.csv; dataset/corpus_gap_audit/language_candidates.csv
