condition_a,condition_b,document_count,issuer_count,total_pages_in_docs_meeting_both,development_count,challenge_count,validation_count,holdout_count,status,tautology_flag,dependency_source_artifact,dependency_source_function,dependency_source_rule,notes
ocr_layer_candidate,scanned_or_mixed,98,31,23877,30,26,24,27,OBSERVED,TAUTOLOGICAL,tools/audit_corpus_gaps.py,check_cond / doc_rows generation,"MIXED representation is assigned if ocr_page_count > 0; scanned_or_mixed checks representation in (SCANNED, MIXED)",total_pages_in_docs_meeting_both represents sum of all pages across the 98 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: TAUTOLOGICAL.
legacy_font_candidate,scanned_or_mixed,41,19,11108,18,12,7,9,OBSERVED,NOT_ASSESSED,NONE,NONE,NONE,total_pages_in_docs_meeting_both represents sum of all pages across the 41 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: NOT_ASSESSED.
hidden_text_candidate,ocr_layer_candidate,2,2,246,1,0,0,0,OBSERVED,NOT_ASSESSED,NONE,NONE,NONE,total_pages_in_docs_meeting_both represents sum of all pages across the 2 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: NOT_ASSESSED.
duplicate_text_candidate,ocr_layer_candidate,24,13,5914,9,4,6,6,OBSERVED,NOT_ASSESSED,NONE,NONE,NONE,total_pages_in_docs_meeting_both represents sum of all pages across the 24 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: NOT_ASSESSED.
two_column,table_candidate,184,36,37278,58,38,47,50,OBSERVED,NOT_ASSESSED,NONE,NONE,NONE,total_pages_in_docs_meeting_both represents sum of all pages across the 184 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: NOT_ASSESSED.
two_column,header_candidate,80,32,17994,21,13,26,24,OBSERVED,NOT_ASSESSED,NONE,NONE,NONE,total_pages_in_docs_meeting_both represents sum of all pages across the 80 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: NOT_ASSESSED.
two_column,footer_candidate,86,27,21473,29,21,29,16,OBSERVED,NOT_ASSESSED,NONE,NONE,NONE,total_pages_in_docs_meeting_both represents sum of all pages across the 86 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: NOT_ASSESSED.
two_column,devanagari_candidate,2,1,494,0,2,0,2,OBSERVED,NOT_ASSESSED,NONE,NONE,NONE,total_pages_in_docs_meeting_both represents sum of all pages across the 2 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: NOT_ASSESSED.
toc_candidate,deep_hierarchy_candidate,28,15,8108,11,12,12,2,OBSERVED,NOT_ASSESSED,NONE,NONE,NONE,total_pages_in_docs_meeting_both represents sum of all pages across the 28 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: NOT_ASSESSED.
toc_candidate,toc_offset_candidate,24,15,4858,7,4,10,5,OBSERVED,NOT_ASSESSED,NONE,NONE,NONE,total_pages_in_docs_meeting_both represents sum of all pages across the 24 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: NOT_ASSESSED.
annexure_candidate,combined_mdna_candidate,44,22,10066,16,8,11,12,OBSERVED,NOT_ASSESSED,NONE,NONE,NONE,total_pages_in_docs_meeting_both represents sum of all pages across the 44 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: NOT_ASSESSED.
bilingual_candidate,legacy_font_candidate,1,1,241,0,1,0,1,OBSERVED,NOT_ASSESSED,NONE,NONE,NONE,total_pages_in_docs_meeting_both represents sum of all pages across the 1 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: NOT_ASSESSED.
bilingual_candidate,scanned_or_mixed,1,1,253,0,1,0,1,OBSERVED,NOT_ASSESSED,NONE,NONE,NONE,total_pages_in_docs_meeting_both represents sum of all pages across the 1 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: NOT_ASSESSED.
long_report,deep_hierarchy_candidate,16,11,6165,5,5,7,2,OBSERVED,NOT_ASSESSED,NONE,NONE,NONE,total_pages_in_docs_meeting_both represents sum of all pages across the 16 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: NOT_ASSESSED.
long_report,scanned_or_mixed,45,20,17507,16,12,7,14,OBSERVED,NOT_ASSESSED,NONE,NONE,NONE,total_pages_in_docs_meeting_both represents sum of all pages across the 45 documents satisfying both document-level conditions; not page-level intersection. Tautology flag: NOT_ASSESSED.
