claim_id,claim_anchor,claim_type,report_section,original_claim,reported_value,reported_unit,canonical_value,canonical_unit,source_artifact,source_field,source_row_identifier,source_calculation_id,source_calculation,evidence_location,source_claim_ids,decision_rule_id,decision_basis,review_expectation_value,review_expectation_status,status,corrected_claim,reason
CLAIM:C001,section_01.corpus_count,QUANTITATIVE,1. Executive Summary & Verification of Baseline,The executable corpus consists of exactly 194 PDF files,194,documents,194,documents,dataset/corpus_freeze/corpus_inventory.csv,openable,openable=True,CALC_COUNT_EXECUTABLE_DOCS,count(openable == 'True'),corpus_inventory.csv rows with openable == True,,,,194,MATCH,SUPPORTED,The executable corpus consists of exactly 194 PDF files,Directly confirmed from frozen T0 inventory
CLAIM:C002,section_01.issuer_count,QUANTITATIVE,1. Executive Summary & Verification of Baseline,The corpus spans 36 distinct corporate issuers,36,issuers,36,issuers,dataset/corpus_freeze/corpus_inventory.csv,issuer,openable=True,CALC_COUNT_DISTINCT_ISSUERS,distinct_count(issuer),corpus_inventory.csv distinct issuers where openable == True,,,,36,MATCH,SUPPORTED,The corpus spans 36 distinct corporate issuers,Directly confirmed from frozen T0 inventory
CLAIM:C003,section_01.missing_records_count,QUANTITATIVE,1. Executive Summary & Verification of Baseline,Exactly 14 historical records exist in legacy logs but lack physical bytes,14,records,14,records,dataset/corpus_freeze/corpus_inventory.csv,openable,openable=False,CALC_COUNT_MISSING_HISTORICAL_DOCS,count(openable != 'True'),corpus_inventory.csv rows with openable != True,,,,14,MATCH,SUPPORTED,Exactly 14 historical records exist in legacy logs but lack physical bytes,Directly confirmed from frozen T0 inventory
CLAIM:C004,section_01.physical_pages_count,QUANTITATIVE,1. Executive Summary & Verification of Baseline,"Total physical pages verified: 37,917 pages",37917,pages,37917,pages,dataset/corpus_freeze/corpus_inventory.csv,page_count,openable=True,CALC_SUM_PHYSICAL_PAGES,sum(page_count),corpus_inventory.csv sum(page_count) for openable docs,,,,37917,MATCH,SUPPORTED,Total physical pages verified: 37917 pages,Directly confirmed from frozen T0 inventory
CLAIM:C005,section_02.q05_native_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"Native text: 191 documents (36 issuers, 36,988 pages)",191,documents,191,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=native,CALC_COUNT_DOCS_WITH_NATIVE_PAGES,"lookup(condition == 'native', document_count)",gap_summary.csv condition == native,,,,191,MATCH,SUPPORTED_WITH_QUALIFICATION,"191 documents contain at least 1 native text page (36 issuers, 36,988 native pages); pure native representation documents number 60",191 reflects documents containing native pages; whole-document native representation is 60
CLAIM:C006,section_02.q05_native_pages,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"Native text page count: 36,988 pages",36988,pages,36988,pages,dataset/corpus_gap_audit/gap_summary.csv,page_count,condition=native,CALC_SUM_NATIVE_PAGES,"lookup(condition == 'native', page_count)",gap_summary.csv condition == native,,,,36988,MATCH,SUPPORTED,"Native text pages detected: 36,988 pages across 191 documents",Directly confirmed from gap_summary.csv
CLAIM:C007,section_02.q05_twocol_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"Two-column layout: 184 documents (36 issuers, 15,015 pages)",184,documents,184,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=two_column,CALC_COUNT_DOCS_TWO_COL,"lookup(condition == 'two_column', document_count)",gap_summary.csv condition == two_column,,,,184,MATCH,SUPPORTED,"Two-column layout candidates: 184 documents (36 issuers, 15,015 pages)",Directly confirmed from gap_summary.csv
CLAIM:C008,section_02.q05_twocol_pages,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"Two-column layout pages: 15,015 pages",15015,pages,15015,pages,dataset/corpus_gap_audit/gap_summary.csv,page_count,condition=two_column,CALC_SUM_TWO_COL_PAGES,"lookup(condition == 'two_column', page_count)",gap_summary.csv condition == two_column,,,,15015,MATCH,SUPPORTED,"Two-column layout pages: 15,015 pages",Directly confirmed from gap_summary.csv
CLAIM:C009,section_02.q05_multicol_docs,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"Multi-column layout (3+ columns): 191 documents (36 issuers, 17,190 pages)",191,documents,191,documents,dataset/corpus_gap_audit/gap_summary.csv,document_count,condition=multi_column,CALC_COUNT_DOCS_MULTI_COL,"lookup(condition == 'multi_column', document_count)",gap_summary.csv condition == multi_column,,,,191,MATCH,SUPPORTED,"Multi-column layout candidates: 191 documents (36 issuers, 17,190 pages)",Directly confirmed from gap_summary.csv
CLAIM:C010,section_02.q05_multicol_pages,QUANTITATIVE,2. Answers to Core Research Questions (Q5),"Multi-column layout pages: 17,190 pages",17190,pages,17190,pages,dataset/corpus_gap_audit/gap_summary.csv,page_count,condition=multi_column,CALC_SUM_MULTI_COL_PAGES,"lookup(condition == 'multi_column', page_count)",gap_summary.csv condition == multi_column,,,,17190,MATCH,SUPPORTED,"Multi-column layout pages: 17,190 pages",Directly confirmed from gap_summary.csv
