dimension,category,coverage_status,evidence_level,coverage_basis,known_limitation,source_artifacts,source_claim_ids,downstream_relevance
document_representation,native,PRESENT,EXISTING_CONDITION,Observed in 60 documents across 29 issuers; no frozen source explicitly characterizes representation as sparse.,Whole-document representation assigned by T0.1R reconciliation based on page profile and absence of scanned pages.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C005,CORE
document_representation,mixed,PRESENT,EXISTING_CONDITION,Observed in 132 documents across 34 issuers; no frozen source explicitly characterizes representation as sparse.,Document contains both native digital text and raster/scanned pages or render mode 3 OCR proxy layers.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C019,ROBUSTNESS
document_representation,scanned,SPARSE,EXISTING_CONDITION,Observed in 2 documents across 2 issuers; explicitly characterized as RARE/SPARSE/THIN in frozen reconciled evidence (gap_summary_reconciled.csv / acquisition_decision.csv / CLAIM:C029 / CLAIM:C058).,Document contains 100% scanned raster pages without native digital font layers; characterized as RARE in frozen acquisition_decision.csv.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C029,ROBUSTNESS
fully_scanned_vs_mixed,fully_scanned_document,SPARSE,EXISTING_CONDITION,Observed in 2 documents across 2 issuers; explicitly characterized as RARE/SPARSE/THIN in frozen reconciled evidence (gap_summary_reconciled.csv / acquisition_decision.csv / CLAIM:C029 / CLAIM:C058).,"Confirmed 100% scanned raster filings across full document extent (2 documents across 2 issuers: INE002L01015_2012, INE003B01014_2011).",dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C029,ROBUSTNESS
fully_scanned_vs_mixed,mixed_scanned_pages,PRESENT,EXISTING_CONDITION,Observed in 61 documents across 29 issuers; no frozen source explicitly characterizes representation as sparse.,Documents classified as MIXED that contain at least 1 scanned raster page (distinct from whole-document scanned filings).,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C019,ROBUSTNESS
fully_scanned_vs_mixed,scanned_pages_in_validation,ABSENT,EXISTING_CONDITION,Zero instances observed in frozen corpus under predicate 'document_representation == 'SCANNED' and split == 'VALIDATION''.,Intersection of document_representation == SCANNED and split == VALIDATION; zero instances observed.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_freeze/issuer_split.csv,CLAIM:C029,ROBUSTNESS
report_era,pre_2015,PRESENT,VALIDATED_METADATA,Observed in 58 documents across 29 issuers; no frozen source explicitly characterizes representation as sparse.,Historical corporate reporting era prior to 2015; specifically identified in T0.2 trigger TRIGGER_HISTORICAL_SCAN_01 as candidate historical filing cohort.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/t0_2_robustness_gate/t0_2_robustness_gate.csv,CLAIM:C057,ROBUSTNESS
report_era,post_2015,PRESENT,VALIDATED_METADATA,Observed in 136 documents across 36 issuers; no frozen source explicitly characterizes representation as sparse.,"Modern corporate reporting era from fiscal year 2015 onward, including 2015 stubs, 2017-2018, and 2024-2025 modern native reports.",dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C001,CORE
ocr_layer_presence,has_ocr_layer_pages,PRESENT,CANDIDATE_PROXY,Observed in 98 documents across 31 issuers; no frozen source explicitly characterizes representation as sparse.,Proxy heuristic detection based on PDF render mode 3 (invisible text layer); does not measure OCR transcription accuracy or text alignment.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/reconciled/gap_summary_reconciled.csv,CLAIM:C020;CLAIM:C021,ROBUSTNESS
ocr_layer_presence,no_ocr_layer_pages,PRESENT,CANDIDATE_PROXY,Observed in 96 documents across 34 issuers; no frozen source explicitly characterizes representation as sparse.,Documents with zero pages flagged by render mode 3 proxy heuristic.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C020,ROBUSTNESS
language_script,devanagari_candidate,SPARSE,CANDIDATE_PROXY,Observed in 2 documents across 1 issuers; explicitly characterized as RARE/SPARSE/THIN in frozen reconciled evidence (gap_summary_reconciled.csv / acquisition_decision.csv / CLAIM:C029 / CLAIM:C058).,Character code detection of Unicode Devanagari block (U+0900..U+097F); observed in 2 documents restricted to cover page letterhead of 1 issuer (SJVN Limited); characterized as RARE.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/reconciled/gap_summary_reconciled.csv,CLAIM:C022;CLAIM:C024,ROBUSTNESS
language_script,bilingual_candidate,SPARSE,CANDIDATE_PROXY,Observed in 2 documents across 1 issuers; explicitly characterized as RARE/SPARSE/THIN in frozen reconciled evidence (gap_summary_reconciled.csv / acquisition_decision.csv / CLAIM:C029 / CLAIM:C058).,Co-occurrence of Devanagari and Latin script characters on the same page; characterized as RARE in frozen gap_summary_reconciled.csv.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/reconciled/gap_summary_reconciled.csv,CLAIM:C025;CLAIM:C026,ROBUSTNESS
language_script,no_devanagari_candidate,PRESENT,CANDIDATE_PROXY,Observed in 192 documents across 36 issuers; no frozen source explicitly characterizes representation as sparse.,No Devanagari candidate was observed under the frozen detector; does not establish that documents are English-only.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C022,ROBUSTNESS
language_script,devanagari_in_fit_or_validation,ABSENT,CANDIDATE_PROXY,"Zero instances observed in frozen corpus under predicate 'int(devanagari_page_count) > 0 and split in ('FIT', 'VALIDATION')'.","Intersection of devanagari_page_count > 0 and split in ('FIT', 'VALIDATION'); CLAIM:C052 confirms zero instances observed (100% absent from development cohort).",dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_freeze/issuer_split.csv,CLAIM:C052,ROBUSTNESS
legacy_or_broken_text,legacy_font_candidate,PRESENT,CANDIDATE_PROXY,Observed in 56 documents across 24 issuers; no frozen source explicitly characterizes representation as sparse.,Detection of U+FFFD replacement characters or PUA codepoints indicating font encoding failures; candidate proxy heuristic count.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/reconciled/gap_summary_reconciled.csv,CLAIM:C030;CLAIM:C031,ROBUSTNESS
legacy_or_broken_text,duplicate_text_candidate,PRESENT,CANDIDATE_PROXY,Observed in 35 documents across 18 issuers; no frozen source explicitly characterizes representation as sparse.,"Bounding-box text overlap heuristic (IoU >= 0.40); captures headers, footers, drop-shadows, and overlay layers.",dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/reconciled/gap_summary_reconciled.csv,CLAIM:C032;CLAIM:C033,ROBUSTNESS
legacy_or_broken_text,hidden_text_candidate,SPARSE,CANDIDATE_PROXY,Observed in 3 documents across 3 issuers; explicitly characterized as RARE/SPARSE/THIN in frozen reconciled evidence (gap_summary_reconciled.csv / acquisition_decision.csv / CLAIM:C029 / CLAIM:C058).,Sub-point font text heuristic (< 0.5 pt); intentional hidden text intent unproven; characterized as RARE in frozen gap_summary_reconciled.csv.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/reconciled/gap_summary_reconciled.csv,CLAIM:C027;CLAIM:C028,ROBUSTNESS
document_size,size_short,PRESENT,VALIDATED_METADATA,Observed in 49 documents across 15 issuers; no frozen source explicitly characterizes representation as sparse.,Total physical pages <= 100 pages.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C038,ROBUSTNESS
document_size,size_medium,PRESENT,VALIDATED_METADATA,Observed in 96 documents across 31 issuers; no frozen source explicitly characterizes representation as sparse.,Total physical pages between 101 and 250 pages.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C039,ROBUSTNESS
document_size,size_long,PRESENT,VALIDATED_METADATA,Observed in 29 documents across 17 issuers; no frozen source explicitly characterizes representation as sparse.,Total physical pages between 251 and 350 pages.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C042,ROBUSTNESS
document_size,size_very_long,PRESENT,VALIDATED_METADATA,Observed in 10 documents across 9 issuers; no frozen source explicitly characterizes representation as sparse.,Total physical pages between 351 and 500 pages.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C043,ROBUSTNESS
document_size,size_extreme,PRESENT,VALIDATED_METADATA,Observed in 10 documents across 7 issuers; no frozen source explicitly characterizes representation as sparse.,Total physical pages > 500 pages (maximum observed 661 pages).,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C045,ROBUSTNESS
document_size,stub_filing,SPARSE,VALIDATED_METADATA,Observed in 2 documents across 2 issuers; explicitly characterized as RARE/SPARSE/THIN in frozen reconciled evidence (gap_summary_reconciled.csv / acquisition_decision.csv / CLAIM:C029 / CLAIM:C058).,"Total physical pages <= 2; exactly 2 filings (INE00FF01025_2015 [1 pg], INE00LO01017_2015 [2 pgs]); characterized as STUB hygiene flag.",dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C058,ROBUSTNESS
