document_id,page_index,condition_class,text_snippet,detector_status,verification_status,notes
INE001B01026_2012,9,EXACT_TEXT_OVERLAP,4  |  KRBL Limited,CANDIDATE,NOT_REVIEWED,iou=1.0
INE001B01026_2012,10,EXACT_TEXT_OVERLAP,Annual Report 2011-12   |  5,CANDIDATE,NOT_REVIEWED,iou=1.0
INE001B01026_2018,18,EXACT_TEXT_OVERLAP,Annual Report 2017-18,CANDIDATE,NOT_REVIEWED,iou=1.0
INE001B01026_2024,8,NEAR_TEXT_OVERLAP,"We transitioned from oil, wheat, and",CANDIDATE,NOT_REVIEWED,iou=0.44
INE001O01029_2024,15,NEAR_TEXT_OVERLAP,Guidelines,CANDIDATE,NOT_REVIEWED,iou=0.45
INE001O01029_2025,11,NEAR_TEXT_OVERLAP,e-Services,CANDIDATE,NOT_REVIEWED,iou=0.41
INE001O01029_2025,16,NEAR_TEXT_OVERLAP,ready,CANDIDATE,NOT_REVIEWED,iou=0.5
INE002L01015_2025,13,NEAR_TEXT_OVERLAP,To consider,CANDIDATE,NOT_REVIEWED,iou=0.8
INE002L01015_2025,15,NEAR_TEXT_OVERLAP,"September, 2025 and",CANDIDATE,NOT_REVIEWED,iou=0.5
INE002L01015_2025,16,NEAR_TEXT_OVERLAP,Individual Shareholders,CANDIDATE,NOT_REVIEWED,iou=0.48
INE002L01015_2025,20,NEAR_TEXT_OVERLAP,The Resolution seeks t,CANDIDATE,NOT_REVIEWED,iou=0.98
INE002L01015_2025,24,NEAR_TEXT_OVERLAP,term business success is intrinsically,CANDIDATE,NOT_REVIEWED,iou=1.0
INE002L01015_2025,25,NEAR_TEXT_OVERLAP,"ith our robust pipeline of projects, strategic",CANDIDATE,NOT_REVIEWED,iou=0.62
INE002L01015_2025,31,NEAR_TEXT_OVERLAP,s been,CANDIDATE,NOT_REVIEWED,iou=0.84
INE002S01010_2017,10,EXACT_TEXT_OVERLAP,8   |    MAHANAGAR GAS LIMITED,CANDIDATE,NOT_REVIEWED,iou=1.0
INE002S01010_2017,29,EXACT_TEXT_OVERLAP,ANNUAL REPORT-2017   |    27,CANDIDATE,NOT_REVIEWED,iou=1.0
INE002S01010_2017,31,EXACT_TEXT_OVERLAP,ANNUAL REPORT-2017   |    29,CANDIDATE,NOT_REVIEWED,iou=1.0
INE002S01010_2017,33,EXACT_TEXT_OVERLAP,ANNUAL REPORT-2017   |    31,CANDIDATE,NOT_REVIEWED,iou=1.0
INE003B01014_2018,23,HIDDEN_TEXT_CANDIDATE,A,CANDIDATE,NOT_REVIEWED,font_size=0.0707106813788414
INE003B01014_2024,20,NEAR_TEXT_OVERLAP,L15142WB1984PLC037472,CANDIDATE,NOT_REVIEWED,iou=0.41
INE005E01013_2013,7,NEAR_TEXT_OVERLAP,"Shree Shakambhari Corporate park, Plot No. 156-158, Chakravarti Ashok Society,",CANDIDATE,NOT_REVIEWED,iou=0.46
INE006I01046_2013,1,EXACT_TEXT_OVERLAP,POWERBRANDS,CANDIDATE,NOT_REVIEWED,iou=1.0
INE006I01046_2024,20,NEAR_TEXT_OVERLAP,development strategies.,CANDIDATE,NOT_REVIEWED,iou=0.47
INE008A01015_2013,20,EXACT_TEXT_OVERLAP,CORPORATE OVERVIEW,CANDIDATE,NOT_REVIEWED,iou=1.0
INE008A01015_2017,6,NEAR_TEXT_OVERLAP,Offering Customers the Digital Edge,CANDIDATE,NOT_REVIEWED,iou=0.95
INE008A01015_2017,10,NEAR_TEXT_OVERLAP,Offering Customers the Digital Edge,CANDIDATE,NOT_REVIEWED,iou=0.49
INE008A01015_2017,12,NEAR_TEXT_OVERLAP,Offering Customers the Digital Edge,CANDIDATE,NOT_REVIEWED,iou=0.48
INE008A01015_2017,14,NEAR_TEXT_OVERLAP,Offering Customers the Digital Edge,CANDIDATE,NOT_REVIEWED,iou=0.61
