dimension,category,source_condition_or_field,document_count,page_count,issuer_count,fit_count,validation_count,holdout_count,coverage_status,coverage_basis,source_artifacts,claim_ids
document_representation,native,document_representation == 'NATIVE',60,7694,29,30,16,14,PRESENT,Observed in 60 documents across 29 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C005
document_representation,mixed,document_representation == 'MIXED',132,30132,34,61,32,39,PRESENT,Observed in 132 documents across 34 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C019
document_representation,scanned,document_representation == 'SCANNED',2,91,2,1,0,1,SPARSE,Observed in 2 documents across 2 issuers; explicitly characterized as RARE/SPARSE/THIN in frozen reconciled evidence (gap_summary_reconciled.csv / acquisition_decision.csv / CLAIM:C029 / CLAIM:C058).,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C029
fully_scanned_vs_mixed,fully_scanned_document,document_representation == 'SCANNED',2,91,2,1,0,1,SPARSE,Observed in 2 documents across 2 issuers; explicitly characterized as RARE/SPARSE/THIN in frozen reconciled evidence (gap_summary_reconciled.csv / acquisition_decision.csv / CLAIM:C029 / CLAIM:C058).,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C029
fully_scanned_vs_mixed,mixed_scanned_pages,document_representation == 'MIXED' and int(scanned_page_count) > 0,61,14150,29,27,15,19,PRESENT,Observed in 61 documents across 29 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C019
fully_scanned_vs_mixed,scanned_pages_in_validation,document_representation == 'SCANNED' and split == 'VALIDATION',0,0,0,0,0,0,ABSENT,Zero instances observed in frozen corpus under predicate 'document_representation == 'SCANNED' and split == 'VALIDATION''.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_freeze/issuer_split.csv,CLAIM:C029
report_era,pre_2015,int(fiscal_year) < 2015,58,6863,29,26,14,18,PRESENT,Observed in 58 documents across 29 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/t0_2_robustness_gate/t0_2_robustness_gate.csv,CLAIM:C057
report_era,post_2015,int(fiscal_year) >= 2015,136,31054,36,66,34,36,PRESENT,Observed in 136 documents across 36 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C001
ocr_layer_presence,has_ocr_layer_pages,int(ocr_page_count) > 0,98,23877,31,47,24,27,PRESENT,Observed in 98 documents across 31 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/reconciled/gap_summary_reconciled.csv,CLAIM:C020;CLAIM:C021
ocr_layer_presence,no_ocr_layer_pages,int(ocr_page_count) == 0,96,14040,34,45,24,27,PRESENT,Observed in 96 documents across 34 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C020
language_script,devanagari_candidate,int(devanagari_page_count) > 0,2,494,1,0,0,2,SPARSE,Observed in 2 documents across 1 issuers; explicitly characterized as RARE/SPARSE/THIN in frozen reconciled evidence (gap_summary_reconciled.csv / acquisition_decision.csv / CLAIM:C029 / CLAIM:C058).,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/reconciled/gap_summary_reconciled.csv,CLAIM:C022;CLAIM:C024
language_script,bilingual_candidate,int(bilingual_candidate_page_count) > 0,2,494,1,0,0,2,SPARSE,Observed in 2 documents across 1 issuers; explicitly characterized as RARE/SPARSE/THIN in frozen reconciled evidence (gap_summary_reconciled.csv / acquisition_decision.csv / CLAIM:C029 / CLAIM:C058).,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/reconciled/gap_summary_reconciled.csv,CLAIM:C025;CLAIM:C026
language_script,no_devanagari_candidate,int(devanagari_page_count) == 0,192,37423,36,92,48,52,PRESENT,Observed in 192 documents across 36 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C022
language_script,devanagari_in_fit_or_validation,"int(devanagari_page_count) > 0 and split in ('FIT', 'VALIDATION')",0,0,0,0,0,0,ABSENT,"Zero instances observed in frozen corpus under predicate 'int(devanagari_page_count) > 0 and split in ('FIT', 'VALIDATION')'.",dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_freeze/issuer_split.csv,CLAIM:C052
legacy_or_broken_text,legacy_font_candidate,int(legacy_candidate_page_count) > 0,56,13377,24,30,10,16,PRESENT,Observed in 56 documents across 24 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/reconciled/gap_summary_reconciled.csv,CLAIM:C030;CLAIM:C031
legacy_or_broken_text,duplicate_text_candidate,int(duplicate_text_candidate_page_count) > 0,35,8625,18,20,8,7,PRESENT,Observed in 35 documents across 18 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/reconciled/gap_summary_reconciled.csv,CLAIM:C032;CLAIM:C033
legacy_or_broken_text,hidden_text_candidate,int(hidden_text_candidate_page_count) > 0,3,875,3,3,0,0,SPARSE,Observed in 3 documents across 3 issuers; explicitly characterized as RARE/SPARSE/THIN in frozen reconciled evidence (gap_summary_reconciled.csv / acquisition_decision.csv / CLAIM:C029 / CLAIM:C058).,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/reconciled/gap_summary_reconciled.csv,CLAIM:C027;CLAIM:C028
document_size,size_short,long_report_category == 'SHORT',49,2963,15,23,15,11,PRESENT,Observed in 49 documents across 15 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C038
document_size,size_medium,long_report_category == 'MEDIUM',96,16146,31,44,23,29,PRESENT,Observed in 96 documents across 31 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C039
document_size,size_long,long_report_category == 'LONG',29,8977,17,12,8,9,PRESENT,Observed in 29 documents across 17 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C042
document_size,size_very_long,long_report_category == 'VERY_LONG',10,4299,9,5,2,3,PRESENT,Observed in 10 documents across 9 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C043
document_size,size_extreme,long_report_category == 'EXTREME',10,5532,7,8,0,2,PRESENT,Observed in 10 documents across 7 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C045
document_size,stub_filing,corpus_hygiene_flag == 'STUB',2,3,2,2,0,0,SPARSE,Observed in 2 documents across 2 issuers; explicitly characterized as RARE/SPARSE/THIN in frozen reconciled evidence (gap_summary_reconciled.csv / acquisition_decision.csv / CLAIM:C029 / CLAIM:C058).,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C058
layout_and_structure,two_column_layout,int(two_column_page_count) > 0,184,37278,36,87,47,50,PRESENT,Observed in 184 documents across 36 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C007
layout_and_structure,multi_column_layout,int(multi_column_page_count) > 0,191,37667,36,91,47,53,PRESENT,Observed in 191 documents across 36 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C009
layout_and_structure,table_candidate,int(table_candidate_page_count) > 0,190,37599,36,90,47,53,PRESENT,Observed in 190 documents across 36 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C011
layout_and_structure,running_furniture_candidate,int(header_candidate_page_count) > 0 or int(footer_candidate_page_count) > 0,125,27718,34,54,34,37,PRESENT,Observed in 125 documents across 34 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C013;CLAIM:C015
layout_and_structure,combined_mdna_candidate,combined_mdna_candidate == 'True',44,10066,22,21,11,12,PRESENT,Observed in 44 documents across 22 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C037
layout_and_structure,annexure_candidate,annexure_candidate == 'True',188,37487,36,88,47,53,PRESENT,Observed in 188 documents across 36 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C018
layout_and_structure,toc_candidate,toc_candidate == 'True',174,34924,36,81,45,48,PRESENT,Observed in 174 documents across 36 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C017
layout_and_structure,no_toc_keyword_candidate,toc_candidate == 'False',20,2993,14,11,3,6,PRESENT,Observed in 20 documents across 14 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C036
coverage_intersections,scanned_with_multi_column,int(scanned_page_count) > 0 and int(multi_column_page_count) > 0,61,14150,29,27,15,19,PRESENT,Observed in 61 documents across 29 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv;dataset/corpus_gap_audit/reconciled/interaction_gap_matrix_reconciled.csv,CLAIM:C009;CLAIM:C048
coverage_intersections,scanned_with_table_candidate,int(scanned_page_count) > 0 and int(table_candidate_page_count) > 0,60,14082,28,26,15,19,PRESENT,Observed in 60 documents across 28 issuers; no frozen source explicitly characterizes representation as sparse.,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,CLAIM:C011
evidence_limitations,ocr_transcription_quality,NONE,0,0,0,0,0,0,NOT_ASSESSABLE,Property is unmeasured in frozen artifacts; requires future pre-registered benchmark.,dataset/corpus_gap_audit/reconciled/gap_audit_report_reconciled.md;dataset/corpus_gap_audit/t0_2_robustness_gate/t0_2_robustness_gate.csv,CLAIM:C020;CLAIM:C057
evidence_limitations,scanned_heading_localization_error,NONE,0,0,0,0,0,0,NOT_ASSESSABLE,Property is unmeasured in frozen artifacts; requires future pre-registered benchmark.,dataset/corpus_gap_audit/t0_2_robustness_gate/t0_2_robustness_gate.csv,CLAIM:C057
