condition,core_thesis_need,robustness_extension_value,current_evidence,current_coverage,evidence_status,decision_rule_id,decision_basis,acquisition_status,minimum_useful_addition,reason,source_claim_ids
native_digital_prose,PRIMARY,HIGH,"191 documents, 36,988 pages",Ubiquitous across all 36 issuers and all splits,WELL_REPRESENTED,DEC_RULE_01,Sufficient variation across 36 corporate issuers and 8 fiscal years,NO_ACQUISITION,0,Current corpus provides complete evidence for English prose extraction,CLAIM:C005;CLAIM:C006;CLAIM:C056
multi_column_layout,PRIMARY,HIGH,"191 documents, 17,190 pages","36 issuers, all splits",WELL_REPRESENTED,DEC_RULE_01,Abundant 2-column and 3+ column layouts available,NO_ACQUISITION,0,Current corpus provides complete reading order challenge diversity,CLAIM:C007;CLAIM:C009;CLAIM:C056
tabular_structures,HIGH,HIGH,"190 documents, 29,476 candidate pages","36 issuers, all splits",WELL_REPRESENTED,DEC_RULE_01,Extensive candidate pages exist for quarantine algorithm evaluation,NO_ACQUISITION,0,Existing candidate pool is vast; acquisition without parser validation is unjustified,CLAIM:C011;CLAIM:C012;CLAIM:C049;CLAIM:C056
running_furniture,HIGH,MEDIUM,"84 header docs, 90 footer docs","32 issuers, all splits",WELL_REPRESENTED,DEC_RULE_01,Sufficient candidate diversity across ~45% of corpus,NO_ACQUISITION,0,Multi-page geometric coordinate stability can be benchmarked on existing files,CLAIM:C013;CLAIM:C015;CLAIM:C050;CLAIM:C056
long_reports,HIGH,MEDIUM,"48 docs > 250 pages, max 661 pages","20 distinct issuers, all splits",WELL_REPRESENTED,DEC_RULE_01,Wide length distribution from 1 to 661 pages,NO_ACQUISITION,0,Memory and chunking scalability can be thoroughly evaluated on current files,CLAIM:C038;CLAIM:C045;CLAIM:C046;CLAIM:C056
mixed_raster_native,HIGH,HIGH,"132 documents, 30,132 pages","34 issuers, all splits",WELL_REPRESENTED,DEC_RULE_01,Abundant mixed digital/scanned pages across corporate issuers,NO_ACQUISITION,0,Sufficient mixed cases exist to evaluate page-level triage and OCR routing,CLAIM:C019;CLAIM:C056
ocr_text_layer_proxy,MEDIUM,HIGH,"98 documents, 189 candidate pages","31 issuers, all splits",WELL_REPRESENTED,DEC_RULE_01,Sufficient candidate pages for pre-processing filter evaluation,NO_ACQUISITION,0,Existing candidate pages satisfy pipeline pre-processing requirements,CLAIM:C020;CLAIM:C021;CLAIM:C056
legacy_broken_fonts,MEDIUM,HIGH,"56 documents, 1,007 candidate pages","24 issuers, all splits",WELL_REPRESENTED,DEC_RULE_01,Extensive CID/PUA codepoint samples across 24 corporate issuers,NO_ACQUISITION,0,Existing corpus provides font repair and re-encoding challenges for evaluation,CLAIM:C030;CLAIM:C031;CLAIM:C056
duplicate_overlapping_text,LOW,MEDIUM,"35 documents, 68 candidate pages","18 issuers, all splits",REPRESENTED,DEC_RULE_02,Need to determine whether text overlap induces extraction corruption before acquiring,ADDITIONAL_AUDIT_REQUIRED,0,Diagnostic audit of existing 35 candidates must precede any acquisition proposal,CLAIM:C032;CLAIM:C033;CLAIM:C057
toc_offset_discrepancy,LOW,MEDIUM,"2 strong candidates, 22 candidates, 4 unresolved in 45 assessed docs",15 issuers,REPRESENTED,DEC_RULE_02,Pipeline design assumption modified: body heading discovery must operate independently of TOC,ADDITIONAL_AUDIT_REQUIRED,0,"Since TOC is not gating for MD&A localization, acquiring new TOC styles is unjustified",CLAIM:C034;CLAIM:C035;CLAIM:C051;CLAIM:C057
devanagari_hindi_bilingual,NONE,OPTIONAL_EXTENSION,"2 documents, 2 pages (116 chars on page 0 letterhead, 1 issuer)",Confined to 1 issuer in HOLDOUT split,RARE,DEC_RULE_02,Core ARPipe thesis extracts English MD&A; Hindi is an optional extension,OPTIONAL_ROBUSTNESS_ACQUISITION,Pre-specified experimental hypothesis required before sample size determination,Acquisition is unjustified for Core Thesis; only justified if dual-script thesis extension is formally launched,CLAIM:C022;CLAIM:C024;CLAIM:C052;CLAIM:C057
fully_scanned_documents,LOW,MODERATE_EXTENSION,"2 fully scanned documents (91 pages across 2 issuers: INE002L01015_2012, INE003B01014_2011)",Thin representation (2 issuers),RARE,DEC_RULE_02,Existing 2 fully scanned docs + 63 docs with scanned pages provide initial triage stress tests,ADDITIONAL_AUDIT_REQUIRED,Pre-specified OCR benchmark protocol required before acquiring older filings,Must formulate exact OCR hypothesis and evaluate existing scanned pages before expanding corpus,CLAIM:C029;CLAIM:C057
