evidence_id,source_path,source_type,evidence_temporality,historical_date,scope,sha256,copied_path,copied_sha256,evidence_locator,directly_observed_fields,relevance,limitations
EV-HIST-01,sep_week1/arpipe-pm5-coverage/reports/pm5_stage_table.csv,CSV_STAGE_TABLE,NEAR_CONTEMPORANEOUS,2026-09-17,"576 company-years (512 discovered, 194 downloaded, 318 lost at download)",30e93b59ac689f00fab182583fb25883322e429be42b4ba14e13a1011b916dc9,NOT_APPLICABLE,NOT_APPLICABLE,pm5_stage_table.csv:L1-L577,"observation_id, company_id, company_name, FY, discovered, downloaded, identity_verified, mda_located, accepted, first_failed_stage, first_failed_reason_code",Primary authoritative population accounting table establishing the exact 318 company-years lost at DISCOVERED -> DOWNLOADED.,Compiled post-hoc from surviving raw snapshots; DOWNLOAD reason codes are unconditionally populated as REASON_CODE_MISSING.
EV-HIST-02,sep_week1/arpipe-pm5-coverage/reports/pm5_source_snapshots/cohort_reports.jsonl,JSONL_DISCOVERY_MANIFEST,CONTEMPORANEOUS,2026-09-11T10:23:11Z–10:27:27Z,"1,164 candidate rows across 512 distinct (company_id, fy_end) pairs",c24f148ae5971dca545168921caa207aa6cfd84021958fcf969bd812a4a04b67,NOT_APPLICABLE,NOT_APPLICABLE,cohort_reports.jsonl:L1-L1164,"company_id, fy_end, source, url, discovered_at, declared_name, declared_fy, priority, filename_symbol, filename_years",Direct physical logging of URL discovery output on 2026-09-11; proves all 318 loss pairs had >=1 discovered candidate URL.,"Documents discovery stage only; contains zero download attempt logs, HTTP status codes, or execution telemetry."
EV-HIST-03,sep_week1/arpipe-pm5-coverage/reports/pm5_source_snapshots/live_store_documents.jsonl,JSONL_STORE_LOG,CONTEMPORANEOUS,2026-09-11T10:28:44Z–10:33:08Z,194 successfully fetched and CAS-stored documents,3a7c7bf15f554298e1c7f4a62b90ea6328a9e1e1e4ecde4840aee7ce42abab31,NOT_APPLICABLE,NOT_APPLICABLE,live_store_documents.jsonl:L1-L194,"company_id, fy_end, sha256, path, n_bytes, n_pages, source, url, pdf_producer, is_encrypted, fetched_at",Proves that all 194 successful downloads occurred within a single ~4.5 min window (10:28:44–10:33:08 UTC) in three tight FY clusters.,Success sink only; failed fetch attempts produce no StoredDoc and write zero lines to this file.
EV-HIST-04,sep_week1/arpipe-0.1.0/cohort_fetch_manifest.jsonl,JSONL_FETCH_MANIFEST,CONTEMPORANEOUS,2026-09-11T10:28:22Z (mtime),"460 candidate rows across exactly 194 distinct (company_id, fy_end) pairs",d242cf51e15d8a4cf542e899d3bab703e0b35030b68d60f49d555957be9da9e1,NOT_APPLICABLE,NOT_APPLICABLE,cohort_fetch_manifest.jsonl:L1-L460,"company_id, fy_end, source, url, discovered_at, declared_name, declared_fy, priority (exact character-level subset of cohort_reports.jsonl)",Proves an intermediate manifest existed on disk at 10:28:22 UTC (22s prior to download start) that contained ONLY the 194 successful pairs and 0 of the 318 losses.,Generating script was not committed; cannot definitively prove whether cmd_fetch was invoked with this file or whether it was built post-hoc.
EV-HIST-05,sep_week1/arpipe-0.1.0/cohort_companies.csv,CSV_COMPANY_MASTER,CONTEMPORANEOUS,2026-09-11T10:23:04Z,"36 stratified companies (6 large, 8 mid, 10 small, 12 micro)",5f2d8078b9367c23aaf0cdd096f1cd0c819c321d4e3eb648a10019deaa2eb71b,NOT_APPLICABLE,NOT_APPLICABLE,cohort_companies.csv:L1-L37,"company_id, canonical_name, exchange, bse_scrip, nse_symbol, cap_band, cap_band_current",Defines the 36 cohort companies that generate the 576 company-year universe denominator.,Static cross-sectional classification as of 2026-09-11; lacks historical incorporation and listing dates.
EV-HIST-06,sep_week1/arpipe-0.1.0/arpipe/fetch.py and arpipe/cli.py @ commit 84318d3,SOURCE_CODE_GIT_COMMIT,CONTEMPORANEOUS,2026-09-11 16:13:52 +0530,Acquisition engine implementation active during historical crawl,84318d37040338dca315b3f9c104b3f161eee433 (commit SHA),NOT_APPLICABLE,NOT_APPLICABLE,arpipe/fetch.py:L1-L162; arpipe/cli.py:L170-L230,"retries=3, HostLimiter(min_interval=1.5), timeout=120.0, ThreadPoolExecutor(workers=4), unseeded httpx.Client, silent return None on exhausted 403/429/503","Direct code evidence proving control flow, client headers, retry schedules, and total absence of persistent failure logging.","Establishes code capability, not dynamic runtime arguments (e.g. CLI flags) actually passed by operator."
EV-HIST-07,sep_week1/arpipe-pm5-coverage/reports/pm5_reason_code_completeness.csv,CSV_AUDIT_REPORT,POST_HOC_RECONSTRUCTION,2026-09-17,Reason code completeness across 5 funnel stages,0adb7410a857435e8a859d30c7ede67e7fa4beb4a4f8c7abda76eb43a246684c,NOT_APPLICABLE,NOT_APPLICABLE,pm5_reason_code_completeness.csv:L1-L8,"stage, failed_N, reason_present_N, reason_missing_N, reason_coverage_pct (DOWNLOAD: 318 failed, 0 present, 0.0%)",Formal verification that 0 of 318 download failures had a recorded reason code in historical stage data.,Confirms the completeness gap; does not identify the underlying physical causes.
EV-HIST-08,sep_week1/arpipe-pc0-coverage-diag/reports/coverage_diagnosis.json and .md,ANALYTICAL_DIAGNOSTIC_REPORT,POST_HOC_RECONSTRUCTION,2026-09-17,"Longitudinal diagnosis of 318 losses, 10-observation pilot probe",e32351adefb76667e6db3ae85bf523e11de780fd37215243d7c9c9bdcaa9b913,NOT_APPLICABLE,NOT_APPLICABLE,coverage_diagnosis.md:Parts 1-14; coverage_diagnosis.json,"10/10 probe success, 0/9 prior probe failure, sub-hour endpoint volatility, timestamp clustering, client asymmetry test",Demonstrated that target URLs are valid and accessible today; ruled out payload corruption on sampled cohort.,Contemporary network observations do not retroactively establish 2026-09-11 historical facts.
EV-HIST-09,sep_week1/arpipe-pc0r-acquisition-pilot/reports/pc0r_diagnosis.json and .md,ANALYTICAL_DIAGNOSTIC_REPORT,POST_HOC_RECONSTRUCTION,2026-09-17,Controlled A/B trial on client configuration across 50 probes,fc6e3948288e8e75c29af40088ea1d93e2b6dd316997a62c2a030abeb6d7e874,NOT_APPLICABLE,NOT_APPLICABLE,pc0r_diagnosis.md:Parts 1-8; pc0r_client_comparison.csv,10/10 paired comparison showing 100% identical success between Arm A (session cookies + headers) and Arm B (unseeded fetch client),Formally ruled out client configuration asymmetry as a current cause of acquisition failure.,Confirms current endpoint reachability; cannot prove origin WAF/CDN state on 2026-09-11.
EV-HIST-10,sep_week1/arpipe-pr1x-adjudication/reports/pr1x_adjudication.json and .md,FORENSIC_ADJUDICATION_REPORT,POST_HOC_RECONSTRUCTION,2026-09-18,Forensic adjudication of 3-window temporal acquisition pilot under R1 telemetry,001148507475598114c03fdf7e9d8c9d055467f1ad4e3e470f57230d01d70eed,NOT_APPLICABLE,NOT_APPLICABLE,pr1x_adjudication.md:Sections 1-18; pr1x_adjudication.json,"20/20 acquisitions succeeded on Attempt 1 across valid Windows 1 & 2; 0 retries, 0 HTTP errors, 0 timeouts; bitwise-identical payloads",Proved that polite single-worker pacing achieves 100% success on target URLs today; historical failure mode was NOT REPRODUCED.,Incomplete 3-window temporal experiment; repair experiment decision adjudicated as INSUFFICIENT EVIDENCE.
