source_id,citation,year,source_type,research_question,population_domain,method,finding,evidence_level,applicability_to_ARPipe,limitation,url,retrieval_date,inclusion_status,exclusion_reason
S01,"Artstein, R.; Poesio, M. Survey Article: Inter-Coder Agreement for Computational Linguistics. Computational Linguistics 34(4):555-596.",2008,PEER_REVIEWED_SURVEY,"Which agreement measures match which annotation tasks?",Computational linguistics annotation,"Methodological survey of agreement measures and their assumptions.","Agreement must be interpreted against the annotation task and units rather than reported as a context-free scalar.",GENERAL_ANNOTATION_METHODOLOGY,"Directly supports a task-specific agreement matrix; not evidence about Indian annual-report boundaries.","Survey rather than an annual-report annotation study.",https://aclanthology.org/J08-4004/,2026-09-20,INCLUDED,
S02,"Hayes, A. F.; Krippendorff, K. Answering the Call for a Standard Reliability Measure for Coding Data. Communication Methods and Measures 1(1):77-89.",2007,PEER_REVIEWED_METHODS,"How should independent-coder reliability be designed and reported?",Content analysis,"Conceptual and methodological comparison of reliability coefficients.","Reliability evidence requires independently generated records for appropriate units; Krippendorff alpha accommodates different scales, coder counts, and missing data.",GENERAL_ANNOTATION_METHODOLOGY,"Supports blind independent annotation and alpha only where the measurement model is appropriate.","Does not prescribe ARPipe's spans, sample size, or acceptance threshold.",https://www.asc.upenn.edu/sites/default/files/2021-03/Answering%20the%20Call%20for%20a%20Standard%20Reliability%20Measure%20for%20Coding%20Data.pdf,2026-09-20,INCLUDED,
S03,"Zapf, A.; Castell, S.; Morawietz, L.; Karch, A. Measuring inter-rater reliability for nominal data - which coefficients and confidence intervals are appropriate? BMC Medical Research Methodology 16:93.",2016,PEER_REVIEWED_SIMULATION,"How should uncertainty for categorical agreement be reported?",Inter-rater reliability,"Simulation comparison of Fleiss K and Krippendorff alpha with asymptotic and bootstrap intervals.","Bootstrap intervals performed better than the studied asymptotic interval; alpha is preferable where ratings are missing or have higher than nominal order.",GENERAL_ANNOTATION_METHODOLOGY,"Supports reporting point estimates with bootstrap intervals and avoiding unexplained universal cut-offs.","Simulation is not an annual-report study and does not validate a specific bootstrap cluster design for ARPipe.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4974794/,2026-09-20,INCLUDED,
S04,"Fournier, C. Evaluating Text Segmentation using Boundary Edit Distance. ACL 2013.",2013,PEER_REVIEWED_METHODS,"How should ordered boundaries and segmentation agreement be assessed?",Text segmentation,"Introduces boundary similarity and related inter-coder agreement adaptations.","Boundary-aware measures can give partial credit for near misses and expose properties obscured by a single exact-boundary rate.",TRANSFERABLE_DOCUMENT_NLP_EVIDENCE,"Supports reporting exact and tolerance/distance/span measures together for MD&A boundaries.","Topic segmentation differs from physical page-span localization.",https://aclanthology.org/P13-1167/,2026-09-20,INCLUDED,
S05,"Pevzner, L.; Hearst, M. A. A Critique and Improvement of an Evaluation Metric for Text Segmentation. Computational Linguistics 28(1):19-36.",2002,PEER_REVIEWED_METHODS,"What are the limitations of window-based segmentation metrics?",Text segmentation,"Analysis of Pk and proposal of WindowDiff.","Window-based metrics have non-obvious error weighting and should not replace direct, interpretable boundary reporting without justification.",TRANSFERABLE_DOCUMENT_NLP_EVIDENCE,"Supports retaining exact start/end, distances, and span IoU rather than using a single window metric for ARPipe.","Not an annual-report annotation study; does not establish the final ARPipe evaluator.",https://aclanthology.org/J02-1002/,2026-09-20,INCLUDED,
S06,"Fort, K.; Sagot, B. Influence of Pre-Annotation on POS-Tagged Corpus Development. Fourth Linguistic Annotation Workshop.",2010,PEER_REVIEWED_EXPERIMENT,"Should annotators see pipeline/model output?",Corpus annotation,"Controlled experiments comparing manual annotation and pre-annotation.","Pre-annotation may improve speed but creates bias that must be considered.",GENERAL_ANNOTATION_METHODOLOGY,"Supports prohibiting ARPipe predictions, OCR output, and prior annotations during independent Gold work.","POS tagging is not page transcription or MD&A localization.",https://aclanthology.org/W10-1807/,2026-09-20,INCLUDED,
S07,"Anderson, M. et al. Anchoring and Agreement in Syntactic Annotations.",2016,PREPRINT_EXPERIMENT,"Should annotators edit automatic output?",Syntactic annotation,"Controlled comparison of parser-assisted and human-only annotation.","Editing pre-existing annotations produced anchoring effects and could overestimate system performance.",TRANSFERABLE_DOCUMENT_NLP_EVIDENCE,"Corroborates the blind, no-engine-output policy.","Preprint and syntactic domain; used as corroborative rather than sole evidence.",https://arxiv.org/abs/1605.04481,2026-09-20,INCLUDED,
S08,"Securities and Exchange Board of India. Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, last amended July 25 2022.",2022,OFFICIAL_REGULATION,"What is the regulatory role and historical period of an MD&A report?",Indian listed entities,"Official consolidated regulation text.","Regulation 34(2)(e) places a management discussion and analysis report in the annual report as part of or additional to the directors report; the 2015 regulations take effect ninety days after Gazette publication and rescind prior listing-agreement circulars subject to savings.",REGULATORY_CONTEXT,"Provides post-2015 listed-entity context only; it cannot determine a physical boundary in a particular report.","A 2022 consolidation must not be applied as a content or boundary definition to pre-LODR corpus records without period-specific verification.",https://www.sebi.gov.in/sebi_data/attachdocs/jul-2022/1659096400607.pdf,2026-09-20,INCLUDED,
S09,"Label Studio. Ways to do document annotation in Label Studio.",2026,OFFICIAL_TOOL_DOCUMENTATION,"Can Label Studio support long document image annotation and coordinate export?",Annotation tooling,"Official feature documentation.","Community workflows use externally hosted page images and item_index; native PDF capability and stated page limits vary by edition.",TOOLING_EVIDENCE,"Supports the documented Community image-workflow constraints; complemented by the local synthetic POC.","Vendor documentation is not an independent long-report or blinding evaluation.",https://labelstud.io/learning-center/doing-document-annotation-in-label-studio/,2026-09-20,INCLUDED,
S10,"Explosion. Prodigy documentation: Review.",2026,OFFICIAL_TOOL_DOCUMENTATION,"Can Prodigy preserve multi-annotator records and support review?",Annotation tooling,"Official product documentation.","Review groups records from multiple annotators and retains annotator/session metadata; interface-specific and deployment-specific safeguards still require validation.",TOOLING_EVIDENCE,"Shows a plausible configurable alternative for review/provenance, not demonstrated for 100-600 page ARPipe reports.","No local POC and no license/runtime validation in this worktree.",https://prodi.gy/docs/review,2026-09-20,INCLUDED,
S11,"doccano project. doccano README.",2026,OFFICIAL_TOOL_DOCUMENTATION,"Is doccano suitable for page-image, coordinate, and long-report annotation?",Annotation tooling,"Official project description and installation documentation.","The stated core scope is collaborative text classification, sequence labeling, and sequence-to-sequence annotation.",TOOLING_EVIDENCE,"Supports treating doccano as text-centric and requiring customization/evidence before it is proposed for ARPipe page images.","README does not prove absence of an extension or custom workflow.",https://github.com/doccano/doccano,2026-09-20,INCLUDED,
S12,"ARPipe custom local interface feasibility POC, artifacts/t0_4_gold_method_research/poc/results_custom.json.",2026,LOCAL_TOOLING_POC,"Can a local prototype serve synthetic 2-, 20-, and 600-page documents with isolation and provenance?",Synthetic non-Gold PDFs,"Automated local browser/API harness using synthetic PDFs only.","Lazy page rendering, 600-page navigation, coordinate round-trip, append-only per-annotator records, and role-gated comparison were demonstrated; authentication was intentionally absent.",TOOLING_EVIDENCE,"Directly relevant feasibility evidence but not a production-security or usability study.","Synthetic inputs, one machine, unauthenticated roles, and no human usability study.",artifacts/t0_4_gold_method_research/poc/results_custom.json,2026-09-20,INCLUDED,
S13,"ARPipe Label Studio Community feasibility POC, artifacts/t0_4_gold_method_research/poc/results_label_studio.json and results_label_studio_nav.json.",2026,LOCAL_TOOLING_POC,"Can Label Studio Community manage synthetic long-document image annotation?",Synthetic non-Gold PDFs,"Automated local browser/API harness using synthetic 2-, 20-, and 600-page documents.","The 600-page image-list task opened and navigated; coordinate export round-tripped, but Community annotations were visible across users and required provenance was absent from export.",TOOLING_EVIDENCE,"Directly relevant edition-specific evidence; identifies customization and isolation requirements.","Synthetic inputs, one local version, no production load/security test, and not proof for all Label Studio editions.",artifacts/t0_4_gold_method_research/poc/results_label_studio.json,2026-09-20,INCLUDED,
